id_estudiante,nombre,anio_ingreso,ciclo,carrera,sociabilidad,comorbilidad,mascarilla
U202400001,Valentino Cabrera Palomino,2024,3,Economía y Ciencia de Datos,0.99,0,0
U201900002,Pablo Medina Aguilar,2019,10,Ingeniería Industrial,0.58,0,0
U202400003,Mariana Rojas Campos,2024,3,Ingeniería de Sistemas de Información,0.53,1,0
U202300004,Cesar Dominguez Escobar,2023,5,Ingeniería de Gestión Empresarial,0.7,0,0
U201700005,Lucia Diaz Quispe,2017,10,Administración,0.46,0,0
U201700006,Emilia Lopez Palomino,2017,10,Economía y Ciencia de Datos,0.54,0,0
U202500007,Pablo Flores Hernandez,2025,1,Ingeniería de Software,0.79,0,0
U201800008,Cesar Gomez Silva,2018,10,Comunicación Audiovisual y Medios Interactivos,0.95,0,0
U201800009,Emilia Carranza Zapata,2018,10,Comunicación e Imagen Empresarial,0.79,0,0
U202100010,Valeria Herrera Huamani,2021,8,Contabilidad y Administración,0.95,1,0
U201800011,Thiago Rojas Arreola,2018,10,Ingeniería de Software,0.79,0,0
U202000012,Lucia Alvarez Rivera,2020,10,Contabilidad y Administración,0.51,0,0
U202300013,Ignacio Reyes Quispe,2023,4,Administración y Finanzas,0.6,0,0
U202200014,Javier Huamani Arreola,2022,6,Contabilidad y Finanzas,0.56,0,0
U201800015,Paula Mendoza Huamani,2018,10,Ingeniería de Software,0.33,0,0
U201700016,Alejandro Torres Castañeda,2017,10,Comunicación Audiovisual y Medios Interactivos,0.9,0,0
U202000017,Carla Ramirez Paredes,2020,10,Contabilidad y Finanzas,0.85,0,0
U202300018,Renata Salinas Quispe,2023,4,Ingeniería de Software,0.43,0,0
U202100019,Fabrizio Ramirez Aguilar,2021,9,Contabilidad y Administración,0.76,0,0
U201800020,Mariana Ramirez Vera,2018,10,Administración y Finanzas,0.78,0,0
U201700021,Natalia Castro Salas,2017,10,Ingeniería de Ciberseguridad,0.88,1,0
U201800022,Belen Reyes Zapata,2018,10,Ingeniería de Software,0.47,0,0
U202200023,Leonardo Lopez Paredes,2022,7,Derecho,0.48,0,0
U202400024,Thiago Torres Delgado,2024,2,Ingeniería Civil,0.63,0,0
U202100025,Leonardo Vargas Quispe,2021,8,Ingeniería de Gestión Empresarial,0.53,0,0
U202500026,Roxana Castro Hernandez,2025,1,Psicología Educacional,0.95,0,0
U201800027,Lucia Perez Huamani,2018,10,Ingeniería de Sistemas de Información,0.76,0,0
U202500028,Paula Dominguez Ibarra,2025,1,Contabilidad y Administración,0.71,0,0
U202100029,Abril Alvarez Ortega,2021,9,Comunicación e Imagen Empresarial,0.5,0,0
U201900030,Diego Vargas Hernandez,2019,10,Comunicación Audiovisual y Medios Interactivos,0.26,0,0
U201800031,Andrea Ramirez Arreola,2018,10,Ingeniería de Ciberseguridad,0.43,0,0
U202100032,Valentino Vargas Romero,2021,9,Ingeniería de Sistemas de Información,0.5,0,0
U201900033,Santiago Cabrera Palomino,2019,10,Ingeniería Civil,0.54,0,0
U201800034,Diego Lopez Cruz,2018,10,Comunicación e Imagen Empresarial,0.59,1,0
U201900035,Fabrizio Alvarez Mamani,2019,10,Administración y Marketing,0.81,0,1
U201700036,Abril Reyes Salas,2017,10,Comunicación y Periodismo,0.39,0,1
U201800037,Emilia Soto Salas,2018,10,Ingeniería de Ciberseguridad,0.31,0,0
U202400038,Elisa Diaz Ibarra,2024,3,Ingeniería Civil,0.51,0,0
U202200039,Jonatan Morales Hernandez,2022,7,Ingeniería de Ciberseguridad,1,0,0
U202300040,Alejandro Herrera Arreola,2023,4,Psicología Educacional,0.63,1,0
U202300041,Belen Chavez Escobar,2023,5,Ingeniería de Ciberseguridad,0.23,1,0
U201800042,Pablo Perez Valdez,2018,10,Contabilidad y Finanzas,0.81,1,0
U202200043,Elisa Mendoza Palomino,2022,7,Comunicación y Marketing,0.74,0,0
U202400044,Rafael Rojas Vega,2024,3,Comunicación e Imagen Empresarial,0.62,0,0
U201700045,Abril Rojas Hernandez,2017,10,Ingeniería de Software,0.68,0,0
